SUBARU LEGACY OUTBACK (2005),1
CHEVROLET KLAN (J200/LACETTI) (2007),1
SSANG YONG KYRON II (2010),1
SKODA OKTAVIA (2008),1
MERCEDES-BENZ Y E240T (1997),1
HYUNDAI SOLARIS 1.6 GIAT (2011),1
NISSAN ALMERA 1.6 SE (2007),1
VAZ 21074 (2006),3
GAZ 3110 (2004),2
CHEVROLET KLAN J200 CHEVROLETL (2011),2
CHEVROLET AVEO (2009),2
œ≈∆Œ œ¿–“Õ≈– (2010),1
VOLKSWAGEN TOURAN (2004),1
KIA -SPECTRA (FB2273) (2007),2
KIA CEE'D (2011),1
NISSAN TIIDA "1 (6 ELEGANCE"),1
HYUNDAI ELANTRA 1.6 GLS AT (2007),2
HYUNDAI ELANTRA 1.6 GL MT (2008),2
RENAUL“ SR (2009),1
CHRYSLER VOYAGER LX (2003),1
Õ»——¿Õ ¿À‹Ã≈–¿  À¿— (2010),1
KIA-ED (CEED) (2009),1
MERCEDES-BENZ VITO 109CDI (2007),1
NISSAN TEANA 2.3PREMIUM (2006),1
KIA ED CEE*D (2010),1
VOLKSWAGEN SHARAN (2002),1
DAEWOO NEXIA (2001),1
A21 VORTEX ESTINA YESTINA A21 (2010),1
NISSAN TIIDA 1.6 (2011),16
LAND ROVER FREELANDER 2 (2012),1
Ã¿«ƒ¿ 3 (2005),1
NISSAN KASHKAY 2.0 (2010),1
MAZDA 6 (2006),3
LANDMARK BQ6473SG 4WD (2007),1
KIA FG /CARENS/UN/ (2011),1
BMW 523I (2010),1
KIA FB 2272 (SPECTRA) (2007),1
’≈Õƒ› ›À¿Õ“–¿ 1.6 GLS MT (2010),1
KIA FG SARENS-UN (2010),1
CHEVROLET KLAN J200/LACETTI (2011),12
CHRYSLER TOWN CONTRY (2007),1
NISSAN ALMERA 1.8 LUKHURY (2005),1
RENAULT LOGAN (2007),9
VAZ 210740 (2011),1
KIA ED CEED (2011),6
SKODA OCTAVIA (2007),3
CHEVROLET KLAN J200 (2011),13
HYUNDAI ACCENT (2006),6
KIA GE MAGENTIS OPTIMA M (2008),1
KIA FG (SARENS/UN) (2010),23
NISSAN ALMERA 1.6 RE (2006),2
¬¿« 21093 (2002),1
LIFAN 214813 (2011),1
VAZ 21043 (1999),2
CHEVROLET KLAN J200/CHEVROLET (2012),1
CHEVROLET CRUZE (2009),3
TOYOTA PRIUS (2008),2
LADA 210540 (2010),3
MITSUBISHI LANCER (2008),1
NISSAN QASHQAI (2010),2
CHERY A21 (SQR 7201) (2007),1
FORD GALAXY (2006),1
MERCEDES-BENZ 220 CDI (2008),1
CHEVROLET KLAL (2010),2
KIA CEED ED (2010),1
TOYOTA CAMRY (2004),2
HYUNDAI A—CENT (2008),1
SKODA OKTAVIA TOUR (2008),2
HYUNDAI NF SONATA 2.0 GL MT (2008),2
HYUNDAI NF 2.4 GILS (2006),1
MITSUBISHI COLT 1.3 (2007),1
KIA FG CARENS/UN (2010),3
PEUGEOT PARTNER (2011),8
RENAULT SYMBOL (2010),18
SUZUKI LIANA (2007),1
NISSAN ALMERA KLASSIK (2007),1
TOYOTA AVENSIS (2002),1
MITSUBISHI LANCER 1.5 (2010),3
HYUNDAI NF 2.0 GL MT (2007),4
VAZ 21053 (1996),1
VOLKSWAGEN PASSAT VARIAN (2005),1
VAZ 2112 (2004),1
CHEVROLET KLAN (J200/SHEVROLE (2010),3
VAZ 210740 (2012),1
KIA FG CARENS UN (2009),1
VAZ 210740 LADA (2008),3
KIA FB2272 (SPECTRA) (2006),21
HYUNDAI SOLARIS (2011),21
NISSAN ALMERA CLASIC (2012),1
KIA ED CEE D (2012),1
OPEL ASTRA A-H/NB (2012),2
CITROEN BERLINGO (2006),8
INFINITI FX35 (2009),1
NISSAN TEANA 2.3PREMIUM (2007),1
VOLKSWAGEN POLO (2012),3
KIA SID (2009),1
HYUNDAI I40 2.0AT (2012),1
HYUNDAI ELANTRA 1.6 GLSAT (2010),1
HYUNDAI TG2.7 GLS AT (2007),1
VAZ- 21124 (2005),1
NISSAN ALMERA CLASSIC 1.6 SE (2008),2
 »¿ —»ƒ (2009),1
OPEL ASTRA (2011),4
FORD FOCUS (2004),6
OPEL ZAFIRA (2008),6
DAEWOO NEKSIA (2010),1
NISSAN PRIMA (1986),1
VOLKSWAGEN TIGUAN (2011),1
FORD FUSION (2008),2
SSANGYONG -RODIUS (2008),1
CHEVROLET KLAN EPICA (2008),1
ÿ≈¬–ŒÀ≈  À¿Õ (2011),1
RENAULT LAGUNA (2008),2
KIA SPECTRA FB2273 (2009),1
HYNDAI SONATA (2008),1
HYUNDAI SONATA NF (2008),23
KIA (CARENS/UN) (2011),1
KIA FG (SARENC/UN) (2010),7
ZAZ CHANCE (2010),6
NISSAN TEANA 2.0 ELEGANSE (2006),1
MERSEDES-BENZ E200 KOMPRESSOR (2007),1
ÿ Œƒ¿ Œ “¿¬»ﬂ (2007),1
CHEVROLET KLAN J200/SHEBPOLELA (2011),2
